Neighborhood,Latitude,Longitude
A. S. Rao Nagar,17.455470000000048,78.54389000000003
A.C. Guards,17.392977027745946,78.45686724051741
Abhyudaya Nagar,17.337650000000053,78.56414000000007
Abids,17.389800000000037,78.47658000000007
Adikmet,17.410610000000077,78.51513000000006
Afzal Gunj,17.37751000000003,78.48005000000006
Aghapura,17.387364823969637,78.4669870622138
"Aliabad, Hyderabad",17.346330000000023,78.47254000000004
Alijah Kotla,17.36068000000006,78.47998000000007
Allwyn Colony,17.503370000000075,78.41602000000006
Alwal,17.535430000000076,78.54427000000004
Amberpet,17.385820000000024,78.51836000000003
Ameerpet,17.435350000000028,78.44861000000003
"Ashok Nagar, Hyderabad",17.40784000000002,78.49150000000003
Asif Nagar,17.385140000000035,78.44738000000007
Attapur,17.369170000000054,78.43683000000004
"Azamabad, Hyderabad",17.40710000000007,78.50233000000003
Azampura,17.372720000000072,78.49047000000007
Badichowdi,17.38897000000003,78.48681000000005
Bagh Lingampally,17.39931000000007,78.49964000000006
Bairamalguda,17.339920000000063,78.54553000000004
Balkampet,17.448510000000056,78.44924000000003
Banjara Hills,17.415350000000046,78.43435000000005
"Bank Street, Hyderabad",17.38859199570786,78.47665099785392
"Barkas, Hyderabad",17.31906174984278,78.47990793172261
Barkatpura,17.393210000000067,78.49922000000004
Basheerbagh,17.40211000000005,78.47770000000008
Bazarghat,17.398102938723884,78.46271999999999
Begum Bazaar,17.373500000000035,78.46905000000004
Begumpet,17.447290000000066,78.45396000000005
Bharat Nagar,17.52834000000007,78.52504000000005
"BHEL Township, Hyderabad",17.505990000000054,78.30454000000003
BJR Nagar,17.443340000000035,78.45254000000006
Boggulkunta,17.39137000000005,78.48023000000006
Borabanda,17.45270000000005,78.41256000000004
Bowenpally,17.469280496483847,78.49565155327014
Brahman Vaadi,17.37805000000003,78.51445000000007
Chaderghat,17.37733000000003,78.48974000000004
Champapet,17.34767000000005,78.51552000000004
Chanchalguda,17.36918000000003,78.49557000000004
Chandrayan Gutta,17.322475573181325,78.46904533327697
Chatta Bazaar,17.370160000000055,78.47805000000005
Cherlapally,17.466480000000047,78.59999000000005
Chikkadpally,17.40301000000005,78.49792000000008
Chilkalguda,17.426750000000027,78.51229000000006
Chintal Basti,17.406620000000032,78.45659000000006
Chintalakunta,17.33862000000005,78.55741000000006
Dabirpura,17.366180000000043,78.48736000000008
Dar-ul-Shifa,17.37200000000007,78.48474000000004
Dhoolpet,17.374070000000074,78.45992000000007
Dilsukhnagar,17.368570000000034,78.53515000000004
Domalguda,17.409950000000038,78.48229000000003
ECIL 'X' Roads,17.496818824321053,78.3578205
Edi Bazar,17.344520000000045,78.49419000000006
Erragadda,17.45333000000005,78.43034000000006
"Fateh Nagar, Hyderabad",17.45841000000007,78.45181000000008
Ferozguda,17.464059661892776,78.4520351229766
Film Nagar,17.413910000000044,78.40547000000004
Gachibowli,17.43181000000004,78.38636000000008
Gaddiannaram,17.365000000000066,78.52618000000007
Golnaka,17.391920000000027,78.50564000000008
Goshamahal,17.382100000000037,78.47062000000005
Gudimalkapur,17.384020000000078,78.43767000000008
Gulzar Houz,17.36259000000007,78.47727000000003
Habsiguda,17.417120000000068,78.54350000000005
Hafeezpet,17.489900000000034,78.35220000000004
Hasmathpet,17.47702000000004,78.48706000000004
Hastinapuram,17.32830000000007,78.54942000000005
Hayathnagar,17.333950000000073,78.61277000000007
"Himayatnagar, Hyderabad",17.404860000000042,78.48121000000003
HITEC City,17.429230000000075,78.37495000000007
Hyderguda,17.399230000000045,78.48073000000005
IDA Bollaram,17.55403000000007,78.34459000000004
Izzat Nagar,17.46574000000004,78.37269000000003
Jahanuma,17.34038000000004,78.46517000000006
Jalal Baba Nagar,17.35442000000006,78.43255000000005
Jamia Osmania,17.4088205726571,78.51557557480703
Jeedimetla,17.521830000000023,78.45433000000008
Jubilee Hills,17.42846000000003,78.39747000000006
Kachiguda,17.386880000000076,78.49553000000003
"Kamala Nagar, Hyderabad",17.36561000000006,78.53305000000006
Kapra,17.478377834821764,78.56366184141162
"Karkhana, Secunderabad",17.45810000000006,78.49908000000005
Karmanghat,17.340610000000027,78.53258000000005
Karwan,17.37907000000007,78.43668000000008
Kavadiguda,17.42262000000005,78.48939000000007
Khairtabad,17.405920000000037,78.45856000000003
Khajaguda,17.41763000000003,78.36557000000005
Khilwat,17.354960000000062,78.47029000000003
"Kings Colony, Shastripuram",17.322940000000074,78.45017000000007
Kompally,17.533180000000073,78.48102000000006
"Kondapur, Ranga Reddy district",17.466600000000028,78.35685000000007
"Kothapet, Hyderabad",17.36883000000006,78.54229000000004
"Koti, Hyderabad",17.385940000000062,78.48338000000007
"Krishna Nagar, Hyderabad",17.387520000000052,78.50378000000006
Kukatpally,17.48735000000005,78.42087000000004
Kushaiguda,17.481130000000064,78.58370000000008
Laad Bazaar,17.361450000000048,78.47209000000004
Lab quarters,17.49051652596792,78.39197805107045
Lakdi ka pul,17.405050000000074,78.46289000000007
Lal Bahadur Nagar,17.377630000000067,78.44237000000004
Lal Darwaza,17.347080000000062,78.47640000000007
Lallaguda,17.440300000000036,78.52791000000008
Langar Houz,17.378197967910967,78.42080090721075
"Laxminagar Colony, Mehdipatnam",17.58319000000006,78.42270000000008
"Lingampally, Hyderabad",17.396690000000035,78.49389000000008
Lingojiguda,17.350670000000036,78.53404000000006
Lothkunta,17.494050000000072,78.51514000000003
Madannapet,17.352500000000077,78.49841000000004
Madeenaguda,17.493000000000052,78.34343000000007
Madhapur,17.45694000000003,78.39013000000006
"Madina, Hyderabad",17.325010000000077,78.49302000000006
Madinaguda,17.493000000000052,78.34343000000007
Maharajgunj,17.37928000000005,78.47749000000005
Mahatma Gandhi Road (Secunderabad),17.428581009624978,78.48784108284617
Malakpet,17.374930000000063,78.51567000000006
Malkajgiri,17.447370000000035,78.53520000000003
Malkajgiri mandal,17.447370000000035,78.53520000000003
Mallapur,17.450017412864128,78.60936126045274
Mallepally,17.391860000000065,78.45905000000005
Manikonda,17.40139000000005,78.39163000000008
Manovikas Nagar,17.465610000000027,78.49327000000005
Marredpally,17.447770000000048,78.50873000000007
Masab Tank,17.400930000000074,78.45362000000006
"Mehboob ki Mehendi, Hyderabad",17.366959058512748,78.46923884186066
Mehdipatnam,17.392630000000054,78.44219000000004
Mettuguda,17.434210000000064,78.51637000000005
"Minister Road, Hyderabad",17.44027299764117,78.47949400159567
Mir Alam Tank,17.35510927993947,78.45412282814529
Miyapur,17.421020000000055,78.58244000000008
Moazzam Jahi Market,17.384480000000053,78.47442000000007
Moghalpura,17.35868000000005,78.47712000000007
Moosapet,17.46705000000003,78.42858000000007
Moosarambagh,17.37077000000005,78.51818000000003
Moti Nagar (Hyderabad),17.44929873843673,78.42293529186118
Moula-Ali,17.465770000000077,78.56018000000006
Musheerabad,17.414690000000064,78.50148000000007
Mylargadda,17.428390000000036,78.51606000000004
Nacharam,17.43351000000007,78.56673000000006
"Nagaram, Medchal–Malkajgiri district",17.609930000000077,78.49122000000006
Nagole,17.378930000000025,78.56204000000008
Nalgonda 'X' Roads,17.375388033134033,78.4984872066268
Nallakunta,17.39749000000006,78.50238000000007
Namalagundu,17.423410000000047,78.51534000000004
"Nampally, Hyderabad",17.38897000000003,78.46733000000006
Nanakramguda,17.41399000000007,78.34580000000005
Nanalnagar,17.394450000000063,78.42789000000005
Narayanguda,17.396420000000035,78.48842000000008
Nawab Saheb Kunta,17.33934000000005,78.45897000000008
Nayapul,17.37114190437791,78.47672135731702
Neredmet,17.477176500000006,78.52847850000002
Neredmet Kakatiya Nagar,17.410990000000027,78.61091000000005
Nizampet,17.514040000000023,78.38327000000004
Noorkhan Bazar,17.37182000000007,78.48544000000004
Padmanabha Nagar Colony,17.391590000000065,78.42872000000006
Padmarao Nagar,17.42616000000004,78.50686000000007
Pan bazar,17.433790000000045,78.49222000000003
Parsigutta,17.416630000000055,78.51093000000003
Patancheru,17.526770000000056,78.25234000000006
Patny,17.442320000000052,78.49617000000006
Pisal Banda,17.394870000000026,78.47076000000004
Pragathi Nagar,17.51425000000006,78.39150000000006
Prakash Nagar,17.360690000000034,78.41634000000005
Punjagutta,17.42616000000004,78.45210000000003
Purana pul,17.31066237944698,78.4390261034255
Putlibowli,17.3828673587922,78.47987442739775
Quthbullapur,17.505360000000053,78.46749000000005
Radha Krishna Nagar,17.458160000000078,78.53478000000007
Raidurg,17.425110000000075,78.39522000000005
Raj Bhavan Road,17.41347450000001,78.45983100000002
"Ramachandrapuram, Medak district",17.51159000000007,78.29431000000005
Ramanthapur,17.39032000000003,78.54544000000004
"Ramnagar, Hyderabad",17.411200000000065,78.50824000000006
Rani Gunj,17.432250000000067,78.49144000000007
Rastrapathi Road,17.43649200312519,78.4939712615716
"Red Hills, Hyderabad",17.397410000000036,78.46274000000005
Rein Bazar,17.355540000000076,78.49756000000008
Risala Bazar,17.38647000000003,78.40510000000006
RTC X Roads,17.496818824321053,78.3578205
Safilguda,17.46643000000006,78.53565000000003
Saidabad,17.353770000000054,78.51332000000008
Saifabad,17.405390000000068,78.47138000000007
Sainikpuri,17.477176500000006,78.52847850000002
Sanathnagar,17.45876000000004,78.44310000000007
Sanghi Nagar,17.39964484239937,78.45677282691582
Sanjeeva Reddy Nagar,17.444380000000024,78.44724000000008
Santoshnagar,17.392100000000028,78.43765000000008
Saroornagar,17.365338800266525,78.53971947549184
Secunderabad,17.442000000000064,78.50192000000004
Serilingampally,17.48216000000002,78.32300000000004
Shah-Ali-Banda,17.357390000000066,78.47320000000008
Shahran Market,17.364490000000046,78.47529000000003
Shanker Mutt,17.43330000000003,78.49037000000004
Shivam Road,17.399452666771662,78.51286117782676
Shyam Rao Nagar,17.431551827370274,78.53127996725141
Sikh Village,17.45870000000002,78.49308000000008
Silpa Avenue Colony,17.48296000000005,78.37426000000005
"Sindhi Colony, Secunderabad",17.442930000000047,78.48041000000006
Sitaphalmandi,17.428000000000054,78.51700000000005
Somajiguda,17.420720000000074,78.46300000000008
